score,numeracy,ID
3,high,dzZZ510MRS
4,high,2FHzimkyMa
1,low,E97QCatFtG
4,high,qzlQ9ncbQ7
4,high,DwTItdNoCm
1,low,d7vm7YHYX7
0,low,ihqpprkSra
1,low,FLIyOLnMYj
0,low,FqXiQCszVQ
2,low,vVeB5dHYPp
3,high,uFQoGfu5K3
3,high,RV1lcVO2oZ
1,low,I1ZeGD2yap
1,low,rTOM2WqDi6
1,low,otpbmNHdiK
3,high,4beEzIKQak
4,high,q7lAPXcyz4
2,low,ViME2WlJ83
0,low,bINFSrohxq
3,high,NhtxZDR0mJ
0,low,xyr4mgNUJe
3,high,l5DqstDocw
2,low,wI2PuwIdLD
0,low,2bfwR05gPR
1,low,TagopIXBs5
1,low,y0FaKUCcUv
0,low,dtYyYwEx7A
3,high,20SGR2Wofx
0,low,zs0hkt0AJX
1,low,oAEESTFMID
2,low,vDYONv2HLf
0,low,0B9vnlhViR
1,low,pyHteCwUhU
2,low,8fxC8h8awT
3,high,J3TR3Jxksv
1,low,qm2rM2RgK3
3,high,bK0RbZJIkn
2,low,EeIRaR2pd0
2,low,5tzAInSAda
2,low,9vOOoLfkmX
4,high,sREgbbSRkA
2,low,sXcMR5eCrM
0,low,zh5iBMY98V
3,high,nCvU18aKWm
1,low,tJKJ2t1CeV
2,low,aGxHJkgHcV
1,low,nob9eVsjuc
1,low,mERCR3VfuN
1,low,2mxCLN6i41
2,low,ysWzBuMkEa
4,high,BHW6dw186Z
1,low,eprwdW3Evz
3,high,LYtxJ6EtWi
1,low,grqRsIRRrq
0,low,dzbkZ04dek
2,low,AYHWa9rYjl
3,high,RYy3T1aL5z
1,low,mkJfpQsg3l
2,low,ZMNZqGNsL9
3,high,tiWFzoeove
0,low,ggOB9x4qUx
4,high,KOQqMCPAZa
4,high,yT3ndwWyxQ
1,low,hrxZ7ONe3f
2,low,aQ4VFbyH6Z
1,low,D5PzyG6PQB
2,low,2mZYfaqauS
1,low,nS3mcKHe5u
4,high,baXGI1HGsH
0,low,SCWwBfvCqH
3,high,P2Zn17LpQu
2,low,ELuQj0u6mt
2,low,Msrwx3P4Lb
0,low,v4VC1tjkQN
0,low,7DdTMQ53B2
1,low,E7OMXvKYlA
3,high,FXpxosJAkO
1,low,8nwdl7VFC3
1,low,rxkfHVIKlF
4,high,W6eTuED085
2,low,DIP2lUUqAB
1,low,0zcVpiapwL
2,low,hfr8kBHN7r
1,low,cnftzDHWTa
4,high,wyvmWADxyp
3,high,ym8ueifce4
4,high,56ytKZTnMD
1,low,TpmqWBkx0p
0,low,iVCrDciJe4
1,low,hdVcc9KH09
3,high,NwBvRVttYu
0,low,twiwtADPIA
0,low,NDRrnsnOWP
1,low,H3dRBTs3cH
1,low,56WQtckeid
0,low,puB1dcnXnt
3,high,gKNNDhthgT
2,low,jZ9x7NR90x
3,high,KwRh6RSxGY
1,low,bu6GB4AaK1
2,low,btqGj6WOn6
0,low,humuI9u2HW
1,low,E88H4Xnk7q
0,low,0DgHD76MUw
4,high,Ekx0S4o5Pb
4,high,Sve7QbhM2y
3,high,zBFPssTvQY
1,low,WRuRUx8dIi
0,low,1HqCK5xtLt
4,high,n0HFKvuLs7
0,low,bdhd9zl2om
3,high,UNZddzvTnr
2,low,Sw2uuU34sq
3,high,5Ms3VAIcIx
1,low,5aYSCu3BKm
1,low,HWFnskMlb4
4,high,7IFT80ae1k
0,low,y6FqxT3w4j
4,high,GmmupKPG6i
2,low,vsvv42x4OP
2,low,ymj1q7vRnY
1,low,132Lcdjq6H
4,high,6Arn1ZRT8f
0,low,CiQ4KMcQ1v
4,high,uSFDFxZQO5
2,low,fc1c8j3ffo
3,high,DxBJcRiIJ0
1,low,xqrx8lT3gB
4,high,Z2MnslOmkR
1,low,8vDgRm4Pin
4,high,Ctk2f93voj
2,low,bI9Nmbkw4Q
2,low,VH4x6KTzpW
1,low,jIpGHJnybL
1,low,vQ5UXWIMe9
4,high,yRutShLKov
2,low,NUjey0ewTM
1,low,v5WNWodFuE
3,high,r8fBkZDpy0
0,low,MEFF0FfeU1
2,low,WeJhAwvIib
1,low,0gjACvAUOm
1,low,zGaftTVMtU
2,low,vcU2yjJPFR
1,low,oTRuDNYmWO
3,high,H6NdBGsZoY
1,low,Dt8jV7aLTK
2,low,XadFAyFZsb
4,high,AmNNjjcbcV
3,high,x0oQCr9WAI
0,low,m0eGat4x4l
1,low,v6GTAfhC5e
2,low,9BaLIHFiuz
0,low,EzH6vmUfLU
1,low,LZu2Z8un89
4,high,S3tEKgi4c0
1,low,uAd7HHWZU9
2,low,LxKzK2XRAg
1,low,VsXYeaCjlg
2,low,VOWrss0Hc9
3,high,tRsM945590
1,low,69PYlpeyPY
0,low,9v3n21UNS5
4,high,eapwAR2wXk
1,low,Kv2Wb4jMty
3,high,Ukf9Fbhneg
0,low,xSYKkiDYMH
4,high,njbhIjFkUh
1,low,p7GhkK67kP
4,high,mMJrUplLkm
3,high,akZqJtizZV
2,low,9VGJfsfkBy
0,low,CovsOV4Gqo
3,high,53Y7y7GCyZ
2,low,a8cyp4mq4e
3,high,HyBateioOm
4,high,PfPQuLSQEl
4,high,kmTXty1FQY
0,low,mNcRRjzAV0
4,high,NLyNTF8z5K
3,high,HHj8AJnTse
4,high,EUhSzmUYv0
1,low,oO5ezaxlho
1,low,nzG4CEBmuw
1,low,oHKKUk1urA
1,low,wd3f6DsFtM
