ID,gender,age,blindness
0121e,female,56,no
01d7f,female,27,no
02871,female,48,no
04650,male,60,no
04b1b,male,56,no
055eb,male,39,no
070d7,male,32,no
08169,male,44,no
082ef,male,34,no
0b80b,female,30,no
0c71d,male,43,no
0d7c0,male,53,no
10c8f,male,34,no
11755,male,30,no
127e8,female,44,no
12edd,male,50,no
130b3,female,40,no
13544,male,36,no
13552,female,63,no
13cb9,female,58,no
15c8d,female,36,no
18f02,male,35,no
19698,male,45,no
1a1c6,male,43,no
1a49d,male,39,no
1a7f2,female,46,no
1b1ac,female,60,no
1bf74,female,41,no
1c1f9,male,33,no
1c39b,male,60,no
1cbd1,male,48,no
1d2bc,male,40,no
1e7a8,male,41,no
1fa63,female,51,no
21565,male,33,no
21b67,female,41,no
22047,male,45,no
228c6,male,43,no
2291f,male,32,no
22c5f,male,33,no
231e0,male,42,no
232aa,male,67,no
234ff,male,32,no
23c8a,female,48,no
25b74,male,35,no
262f2,male,28,no
267a9,female,40,no
27384,female,61,no
2757c,male,53,no
277d2,female,48,no
2a3e7,male,38,no
2c594,female,36,no
2cab4,male,30,no
2d01c,female,36,no
2d689,male,63,no
2d867,male,42,no
30bbf,male,35,no
31459,male,32,no
318e8,male,65,no
3195d,female,31,no
31d0c,female,53,no
3211d,female,33,no
34a74,male,31,no
357ad,male,50,no
35e84,male,50,no
37332,male,37,no
38da9,male,43,no
3956a,female,35,no
395ab,female,58,no
3a94c,female,38,no
3d486,female,31,no
3eb57,male,51,no
3ece3,female,51,no
3edeb,female,50,no
3f2e9,male,39,no
41891,male,29,no
41f87,male,44,no
42143,male,43,no
42b72,male,55,no
43050,male,43,no
4316f,male,38,no
44217,male,35,no
455c4,female,48,no
46956,male,33,no
46e12,female,50,no
47a0b,female,36,no
47cc0,male,47,no
47d58,female,40,no
47e02,female,40,no
49de0,female,54,no
4a149,male,30,no
4ad5f,female,29,no
4b5d2,male,53,no
4cc88,female,31,no
4d130,male,29,no
4df5d,female,48,no
4eb73,female,42,no
4edd0,male,39,no
509c8,male,38,no
52266,female,64,no
524bc,female,51,no
53991,female,57,no
55069,male,24,no
567a9,female,62,no
57506,male,41,no
57962,female,36,no
584da,female,49,no
59ff9,female,33,no
5d3eb,male,34,no
61083,male,42,no
64896,male,44,no
64b9c,female,27,no
64e03,male,40,no
65204,female,41,no
65428,male,43,no
6698c,male,38,no
670b8,male,41,no
67d8b,female,41,no
6ae26,male,42,no
6b1af,female,24,no
6bcfd,male,50,no
6d4b0,male,55,no
7048b,male,50,no
70f61,female,28,no
72101,male,32,no
72f03,female,33,no
73db6,male,44,no
7426e,female,51,no
75832,other,35,no
75f34,male,39,no
76875,female,34,no
76a38,female,34,no
776fa,female,49,no
77983,female,56,no
78428,female,41,no
7951e,male,24,no
7953f,male,29,no
7af1a,male,30,yes
7cf73,female,71,no
7ea08,female,32,no
82671,male,38,no
83ebf,male,34,no
83f57,female,42,no
847f5,male,39,no
8a051,female,49,no
8b68e,female,55,no
8c62c,male,60,no
8c9f7,male,34,no
8cc2a,female,59,no
8e78b,male,32,no
8f879,female,38,no
90c1b,male,37,no
916d3,female,54,no
929c0,male,35,no
93455,female,62,no
944ef,male,57,no
94c94,male,36,no
94dfe,female,27,no
95dc2,male,36,no
977ef,male,44,no
97e2f,female,31,no
9901a,male,57,no
9a82f,female,37,no
9d0de,female,34,no
9d172,female,50,no
9e53f,male,56,no
9eea5,male,46,no
9f101,female,50,no
9f1de,male,35,no
a01c3,male,43,no
a145c,male,33,no
a1912,female,41,no
a1a93,female,30,no
a1ffe,male,45,no
a3245,male,49,no
a329c,male,36,no
a5582,female,35,no
a7bc5,female,40,no
a81e9,female,36,no
a8763,male,41,no
a8d69,male,44,no
a9632,male,31,no
ac01e,male,42,no
ad87f,female,41,no
aebc6,male,49,no
b008c,male,51,no
b2262,female,57,no
b4496,male,39,no
b512b,male,34,no
b8761,male,40,no
bbeea,female,38,no
bce23,other,45,no
bf240,male,44,no
bf72f,male,40,no
c0221,male,35,no
c1934,female,34,no
c2af8,male,33,no
c59f6,male,50,no
c5e02,female,50,no
c649e,male,46,no
c6b54,female,46,no
c8a92,female,42,no
c8dd7,female,52,no
c8f4f,male,48,no
c911e,female,44,no
c9140,male,42,no
c918f,male,34,no
caec1,female,56,no
cb56b,male,50,no
cb92c,male,41,no
cba62,male,45,no
cd372,female,35,no
ce4bd,male,36,no
cfae3,male,30,no
d0679,female,69,no
d0d06,male,51,no
d1584,male,40,no
d2d9c,female,47,no
d2ec2,female,38,no
d4932,female,27,no
d5f96,male,36,no
d65eb,male,48,no
d67e9,female,59,no
d7876,male,43,no
d8538,male,43,no
db11a,female,38,no
dcfac,male,46,no
dd414,male,34,no
dec23,male,54,no
df8d6,female,30,no
e0184,female,53,no
e134b,female,42,no
e1654,male,41,no
e19b0,male,35,no
e1fbf,female,48,no
e25ac,female,38,no
e41c7,female,58,no
e4cda,male,25,no
e68fa,male,42,no
e695c,male,35,no
e711a,female,59,no
e7f06,male,34,no
e911b,female,62,no
e9b79,female,54,no
eb549,male,39,no
ec13f,female,36,no
ec420,male,44,no
efc6a,male,40,no
f19d3,female,68,no
f205b,female,62,no
f23cd,male,38,no
f2a94,male,33,no
f39ea,female,59,no
f5582,male,34,yes
f58a2,male,44,no
f78aa,female,28,no
f79ce,female,37,no
f8770,female,57,no
fa58e,male,32,no
fb48d,female,39,no
fcb71,male,43,no
ff3bd,male,34,no
ff764,female,67,no
